6,7,4,4,4,10,4,9,6,7
7,9,5,4,4,13,4,9,4,4
8,8,5,4,4,9,4,7,4,4
35,12,266,11,11,11,21,30,124,328
104,108,15,19,15,15,17,416,8,112
864,864,864,232,864,97,864,864,864,864
864,732,831,7,81,94,542,864,242,864
864,687,710,216,226,92,864,864,157,755
113,36,120,7,11,94,140,864,26,13
181,864,173,241,116,87,99,348,19,105
8,8,8,6,8,8,8,220,8,8
10,7,4,6,8,5,10,9,4,4
101,109,38,7,17,105,8,22,29,32
864,687,322,7,86,93,262,864,430,203
864,687,121,227,12,93,864,864,864,864
864,687,7,225,864,93,864,864,119,131
864,687,96,90,89,95,682,864,106,134
864,687,96,104,83,95,683,864,106,134
864,864,96,864,146,95,864,864,106,134
864,864,96,864,146,95,864,864,106,134
864,864,96,226,145,95,864,864,106,188
864,864,96,117,112,95,864,864,106,132
864,687,95,112,89,95,864,864,105,188
864,687,95,104,94,95,864,864,106,188
864,687,95,93,105,95,864,864,106,188
864,687,96,101,110,95,864,864,105,188
864,687,96,82,101,95,550,864,76,188
864,687,96,100,109,95,864,864,106,188
864,687,96,110,8,95,817,864,106,188
864,687,96,118,95,95,698,864,106,188
864,687,106,114,100,95,684,864,106,188
781,687,96,132,108,95,864,864,105,188
864,691,96,237,153,95,864,864,170,188
864,688,106,552,101,95,864,864,106,199
864,687,385,239,730,95,864,864,170,194
864,688,392,237,119,95,864,864,232,193
864,693,96,331,306,99,864,864,266,198
864,691,384,250,105,99,864,864,405,536
864,691,401,336,106,99,864,864,864,864
864,732,392,337,864,95,864,864,391,770
864,690,384,240,864,99,864,864,864,864
864,687,396,239,864,864,864,864,864,864
864,690,864,340,864,99,864,864,864,864
864,687,864,338,864,99,864,864,864,538
864,687,695,338,864,864,864,864,864,864
864,691,864,240,864,95,864,864,864,864
864,691,864,240,706,99,864,864,864,864
864,740,414,337,864,99,864,864,707,864
864,690,386,337,864,95,864,864,135,864
864,690,389,236,864,95,864,864,864,536
864,690,864,338,864,99,864,864,404,864
864,687,721,338,864,95,864,864,391,135
184,690,389,336,864,99,864,864,864,254
864,690,387,337,864,864,864,864,864,864
781,690,386,336,864,95,864,864,192,864
864,690,400,337,864,95,864,864,181,220
864,690,864,336,864,95,864,864,182,864
864,708,398,336,864,864,864,864,189,864
864,688,407,336,864,95,864,864,201,864
781,696,386,337,864,864,864,864,864,540
864,696,415,337,344,95,864,864,864,864
864,708,395,337,345,95,864,864,404,864
864,691,428,336,345,95,864,864,864,864
864,697,864,335,864,95,864,864,864,864
864,722,864,336,738,95,864,864,864,864
864,699,763,340,864,95,864,864,864,864
864,691,395,335,344,99,864,864,388,864
864,864,401,336,145,95,864,864,388,864
864,690,864,102,100,95,864,864,864,864
864,708,864,98,96,99,864,864,864,864
864,700,711,254,108,864,864,864,411,864
864,735,434,250,128,99,864,864,864,864
864,697,864,104,111,99,864,864,705,864
864,864,864,95,100,99,864,864,864,864
864,696,707,103,99,99,864,864,864,864
864,691,725,98,100,99,864,864,864,864
864,746,698,102,99,99,864,864,864,864
864,691,447,10,99,95,864,864,394,864
864,691,684,110,126,95,864,864,402,768
864,774,678,91,94,95,864,864,395,864
864,709,235,226,116,95,864,864,136,864
864,864,386,336,143,95,864,864,394,864
864,691,411,93,864,95,864,864,864,864
864,696,392,338,402,99,864,864,864,864
864,711,380,337,342,95,864,864,864,864
864,864,415,337,119,864,864,864,399,530
864,690,387,341,864,99,73,864,412,222
864,690,396,338,864,97,864,864,128,543
864,690,390,337,864,99,864,864,700,533
864,691,386,237,344,99,864,864,402,864
864,690,385,336,339,95,864,864,399,864
864,780,384,336,112,99,864,864,864,864
864,691,383,336,115,99,614,864,864,220
864,690,386,336,443,99,864,864,409,864
864,690,380,336,686,99,662,864,687,235
864,716,379,336,514,864,864,864,864,813
864,690,382,336,864,99,864,864,407,864
864,689,387,336,344,99,864,864,864,864
864,864,386,336,345,98,864,864,864,864
864,690,391,337,864,99,864,864,864,864
